Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,HTHG,HTAG,HTR,PSH,PSD,PSA
SP1,2004-12-19,Zaragoza,Ath Bilbao,0,2,A,2.0,3.25,3.25,,,,,,,0,0,D,,,
SP1,2004-12-19,Villarreal,Malaga,3,0,H,1.66,3.4,4.5,,,,,,,1,0,H,,,
SP1,2004-12-19,Ath Madrid,La Coruna,1,0,H,2.2,3.25,2.8,,,,,,,1,0,H,,,
SP1,2004-12-19,Sevilla,Betis,2,1,H,2.2,3.0,3.1,,,,,,,1,1,D,,,
SP1,2004-12-19,Numancia,Espanol,0,0,D,2.8,3.25,2.2,,,,,,,0,0,D,,,
SP1,2004-12-19,Mallorca,Osasuna,1,2,A,2.2,3.25,2.8,,,,,,,0,2,A,,,
SP1,2004-12-19,Sociedad,Getafe,1,1,D,1.66,3.4,4.5,,,,,,,0,0,D,,,
SP1,2004-12-21,Barcelona,Levante,2,1,H,1.2,5.0,11.0,,,,,,,1,0,H,,,
SP1,2004-12-21,Betis,Ath Madrid,1,0,H,1.9,3.25,3.4,,,,,,,1,0,H,,,
SP1,2004-12-22,Albacete,Villarreal,2,2,D,2.25,3.2,2.75,,,,,,,1,2,A,,,
SP1,2004-12-22,Ath Bilbao,Mallorca,4,0,H,1.61,3.25,5.0,,,,,,,2,0,H,,,
SP1,2004-12-22,Getafe,Santander,2,0,H,2.2,3.25,2.75,,,,,,,2,0,H,,,
SP1,2004-12-22,La Coruna,Zaragoza,2,3,A,1.61,3.5,4.5,,,,,,,0,1,A,,,
SP1,2004-12-22,Malaga,Sociedad,1,5,A,2.25,3.25,2.7,,,,,,,1,1,D,,,
SP1,2004-12-22,Real Madrid,Sevilla,0,1,A,1.4,3.75,7.0,,,,,,,0,1,A,,,
SP1,2004-12-22,Valencia,Espanol,3,0,H,1.61,3.5,4.5,,,,,,,1,0,H,,,
SP1,2004-12-22,Osasuna,Numancia,2,0,H,1.5,3.4,6.0,,,,,,,0,0,D,,,
SP1,2005-01-05,Real Madrid,Sociedad,2,1,H,1.36,4.0,7.5,,,,,,,1,0,H,,,
SP1,2005-01-08,Numancia,Ath Bilbao,1,1,D,2.6,3.2,2.4,,,,,,,0,1,A,,,
SP1,2005-01-08,Sevilla,Getafe,0,0,D,1.44,3.75,6.5,,,,,,,0,0,D,,,
SP1,2005-01-08,Valencia,Levante,2,1,H,1.4,4.0,9.0,,,,,,,0,0,D,,,
SP1,2005-01-09,Ath Madrid,Real Madrid,0,3,A,3.1,3.25,2.25,,,,,,,0,1,A,,,
SP1,2005-01-09,Espanol,Osasuna,4,1,H,1.9,3.25,3.5,,,,,,,3,1,H,,,
SP1,2005-01-09,Mallorca,La Coruna,2,2,D,2.75,3.0,2.37,,,,,,,0,0,D,,,
SP1,2005-01-09,Santander,Malaga,2,1,H,1.83,3.2,3.75,,,,,,,2,0,H,,,
SP1,2005-01-09,Sociedad,Albacete,0,2,A,1.66,3.4,4.5,,,,,,,0,1,A,,,
SP1,2005-01-09,Villarreal,Barcelona,3,0,H,4.0,3.25,1.9,,,,,,,1,0,H,,,
SP1,2005-01-09,Zaragoza,Betis,1,0,H,2.2,3.25,2.8,,,,,,,1,0,H,,,
SP1,2005-01-15,Getafe,Ath Madrid,1,1,D,2.37,3.2,2.62,,,,,,,0,1,A,,,
SP1,2005-01-15,Malaga,Sevilla,1,0,H,3.0,3.1,2.37,,,,,,,0,0,D,,,
SP1,2005-01-16,Real Madrid,Zaragoza,3,1,H,1.36,4.5,8.0,,,,,,,1,1,D,,,
SP1,2005-01-16,Osasuna,Valencia,0,0,D,2.7,3.2,2.3,,,,,,,0,0,D,,,
SP1,2005-01-16,Levante,Villarreal,2,4,A,2.4,3.2,2.3,,,,,,,0,2,A,,,
SP1,2005-01-16,Barcelona,Sociedad,1,0,H,1.33,4.5,9.5,,,,,,,0,0,D,,,
SP1,2005-01-16,Betis,Mallorca,2,0,H,1.57,3.4,5.5,,,,,,,1,0,H,,,
