Date,HomeTeam,AwayTeam,FTHG,FTAG,Result,EloHomeBefore,EloAwayBefore,EloDiff,HomeWin,Draw,AwayWin,Weight
2020-07-19,Ath Madrid,Sociedad,1,1,D,1755.433027587755,1577.9973714575053,267.43565613024975,0,1,0,2.254493791321221e-05
2020-09-12,Eibar,Celta,0,0,D,1532.8996063797968,1510.3670395539211,112.53256682587562,0,1,0,3.060202286644136e-05
2020-09-12,Cadiz,Osasuna,0,2,A,1429.2835505143241,1555.7274547717125,-36.44390425738834,0,0,1,3.060202286644136e-05
2020-09-12,Granada,Ath Bilbao,2,0,H,1551.7333867238176,1570.92686412685,70.80652259696762,1,0,0,3.060202286644136e-05
2020-09-13,Valencia,Levante,4,2,H,1590.2250647188102,1554.3601856953771,125.8648790234331,1,0,0,3.077250723378693e-05
2020-09-13,Alaves,Betis,0,1,A,1490.9455089545213,1506.0948187525419,74.85069020197943,0,0,1,3.077250723378693e-05
2020-09-13,Villarreal,Huesca,1,1,D,1626.625693406509,1497.6489384746835,218.97675493182555,0,1,0,3.077250723378693e-05
2020-09-13,Valladolid,Sociedad,1,1,D,1514.6511339467675,1587.69905983153,16.952074115237565,0,1,0,3.077250723378693e-05
2020-09-19,Villarreal,Eibar,2,1,H,1618.252165587274,1528.2042414321156,180.0479241551584,1,0,0,3.181554485957341e-05
2020-09-19,Getafe,Osasuna,1,0,H,1579.8817675390137,1569.1597902731698,100.72197726584386,1,0,0,3.181554485957341e-05
2020-09-19,Celta,Valencia,2,1,H,1515.0624045016023,1600.0169087557183,5.045495745883954,1,0,0,3.181554485957341e-05
2020-09-20,Huesca,Cadiz,0,2,A,1506.0224662939186,1415.8512150128668,180.1712512810518,0,0,1,3.1992789777689226e-05
2020-09-20,Betis,Valladolid,2,0,H,1524.2772979764995,1513.9198343079474,100.3574636685521,1,0,0,3.1992789777689226e-05
2020-09-20,Granada,Alaves,2,1,H,1563.7180539923324,1472.7630297305636,180.9550242617688,1,0,0,3.1992789777689226e-05
2020-09-20,Sociedad,Real Madrid,0,0,D,1588.43035947035,1804.7889588059113,-126.3585993355614,0,1,0,3.1992789777689226e-05
2020-09-26,Betis,Real Madrid,2,3,A,1535.061130204898,1799.562066186546,-174.5009359816479,0,0,1,3.307718901881991e-05
2020-09-26,Alaves,Getafe,0,0,D,1464.938139982244,1590.651110051556,-35.71297006931218,0,1,0,3.307718901881991e-05
2020-09-26,Elche,Sociedad,0,3,A,1498.4822339590185,1593.6572520897153,-5.175018130696799,0,0,1,3.307718901881991e-05
2020-09-26,Valencia,Huesca,1,1,D,1585.2347250057785,1483.8734798752491,191.36124513052937,0,1,0,3.307718901881991e-05
2020-09-27,Cadiz,Sevilla,1,3,A,1438.0002014315362,1700.1891306953148,-172.18892926377862,0,0,1,3.326146257707632e-05
2020-09-27,Osasuna,Levante,1,3,A,1558.3904477606275,1544.568341658469,103.82210610215839,0,0,1,3.326146257707632e-05
2020-09-27,Ath Madrid,Granada,6,1,H,1745.7313392137305,1571.5429437406522,264.18839547307834,1,0,0,3.326146257707632e-05
2020-09-27,Barcelona,Villarreal,4,0,H,1811.401465449427,1626.107294891233,275.29417055819385,1,0,0,3.326146257707632e-05
2020-09-27,Eibar,Ath Bilbao,1,2,A,1520.3491121281565,1558.9421968583351,51.40691526982141,0,0,1,3.326146257707632e-05
2020-09-27,Valladolid,Celta,1,1,D,1503.136002079549,1529.844588251542,63.29141382800685,0,1,0,3.326146257707632e-05
2020-09-29,Sociedad,Valencia,0,1,A,1608.4338451184449,1577.7181345809015,120.71571053754337,0,0,1,3.363309518571897e-05
2020-09-29,Getafe,Betis,3,0,H,1589.1146646544123,1527.0194504424958,152.09521421191653,1,0,0,3.363309518571897e-05
2020-09-30,Real Madrid,Valladolid,1,0,H,1807.6037459489482,1500.4333222471844,397.17042370176387,1,0,0,3.382046570627695e-05
2020-09-30,Villarreal,Alaves,3,1,H,1621.0034559762364,1466.4745853793877,244.52887059684872,1,0,0,3.382046570627695e-05
2020-09-30,Eibar,Elche,0,1,A,1503.145752753144,1483.7056409302888,109.44011182285521,0,0,1,3.382046570627695e-05
2020-09-30,Huesca,Ath Madrid,0,0,D,1491.3900703001261,1751.111692851391,-169.72162255126477,0,1,0,3.382046570627695e-05
2020-10-01,Celta,Barcelona,0,3,A,1532.5472680839066,1816.5053043644236,-193.95803628051704,0,0,1,3.40088800710538e-05
2020-10-01,Sevilla,Levante,1,0,H,1708.309389314625,1563.9218828854048,234.38750642922014,1,0,0,3.40088800710538e-05
2020-10-01,Ath Bilbao,Cadiz,0,1,A,1576.1455562333476,1429.879942812226,236.26561342112154,0,0,1,3.40088800710538e-05
2020-10-03,Valladolid,Eibar,1,2,A,1497.6653951818648,1483.5711510255987,104.09424415626609,0,0,1,3.438886362675382e-05
2020-10-03,Ath Madrid,Villarreal,0,0,D,1744.316339170384,1626.9017411586378,207.4145980117462,0,1,0,3.438886362675382e-05
2020-10-03,Elche,Huesca,0,0,D,1503.2802426578342,1498.185423981133,95.09481867670115,0,1,0,3.438886362675382e-05
2020-10-03,Sociedad,Getafe,3,0,H,1588.4221931274592,1597.9378098112538,80.48438331620537,1,0,0,3.438886362675382e-05
2020-10-03,Valencia,Betis,0,2,A,1597.7297865718872,1518.1963052856543,169.53348128623293,0,0,1,3.438886362675382e-05
2020-10-04,Cadiz,Granada,1,1,D,1453.7529980003733,1566.1625901029918,-22.40959210261849,0,1,0,3.458044454559468e-05
2020-10-04,Barcelona,Sevilla,1,1,D,1823.905068550486,1714.4892143687525,199.4158541817335,0,1,0,3.458044454559468e-05
2020-10-04,Alaves,Ath Bilbao,1,0,H,1460.5763001969863,1552.2725010452004,-1.6962008482141755,1,0,0,3.458044454559468e-05
2020-10-04,Osasuna,Celta,2,0,H,1539.0369065336918,1525.1475038978442,103.88940263584755,1,0,0,3.458044454559468e-05
